Question, Option A, Option B, Option C, Option D, Correct Answer,Language,category,difficulty,relation
What is the Russian word for innovation?, Инновация, Потрясение, Нарушение, Осуществление, Инновация,Russian,Vocabulary,Easy,Actions
Translate to analyze into Russian., Анализировать, Понимать, Объяснять, Доказывать, Анализировать,Russian,Vocabulary,Easy,Actions
What does беспокойство mean in English?, Anxiety, Happiness, Serenity, Courage, Anxiety,Russian,Vocabulary,Easy,Emotions
Translate loneliness into Russian., Одиночество, Дружба, Любовь, Счастье, Одиночество,Russian,Vocabulary,Easy,Emotions
What is the Russian word for perseverance?, Упорство, Склонность, Отрицание, Подтверждение, Упорство,Russian,Vocabulary,Easy,Attributes
Translate procrastination into Russian., Прокрастинация, Победа, Подвиг, Помощь, Прокрастинация,Russian,Vocabulary,Easy,Negative
What does жаждущий mean in English?, Thirsty, Hungry, Tired, Curious, Thirsty,Russian,Vocabulary,Easy,Adjectives
Translate capability into Russian., Возможность, Вероятность, Согласие, Ответ, Возможность,Russian,Vocabulary,Easy,Attributes
What is the Russian word for vocabulary?, Словарный запас, Грамматика, Сочинение, Чтение, Словарный запас,Russian,Vocabulary,Easy,Education
Translate to confront into Russian., Противостоять, Осуждать, Поддерживать, Преувеличивать, Противостоять,Russian,Vocabulary,Easy,Actions
What does независимость mean in English?, Independence, Interdependence, Dependence, Freedom, Independence,Russian,Vocabulary,Easy,Attributes
Translate courtesy into Russian., Вежливость, Доброта, Благодарность, Любовь, Вежливость,Russian,Vocabulary,Easy,Virtues
What is the Russian word for opportunity?, Возможность, Вероятность, Способность, Причина, Возможность,Russian,Vocabulary,Easy,Concepts
Translate to distinguish into Russian., Различать, Выделять, Отделять, Сравнивать, Различать,Russian,Vocabulary,Easy,Actions
What does последовательность mean in English?, Sequence, Series, Pattern, Sum, Sequence,Russian,Vocabulary,Easy,Concepts
Translate ambitious into Russian., Амбициозный, Спокойный, Дружелюбный, Счастливый, Амбициозный,Russian,Vocabulary,Easy,Characteristics
What is the Russian word for achievement?, Достижение, Проигрыш, Успех, Потеря, Достижение,Russian,Vocabulary,Easy,Success
Translate perseverance into Russian., Упорство, Трудолюбие, Интерес, Благородство, Упорство,Russian,Vocabulary,Easy,Attributes
What does умение mean in English?, Skill, Luck, Beauty, Hope, Skill,Russian,Vocabulary,Easy,Skills
Translate capability into Russian., Способность, Готовность, Понимание, Обсуждение, Способность,Russian,Vocabulary,Easy,Abilities
What is the Russian word for creativity?, Творчество, Разрушение, Удовлетворение, Ответ, Творчество,Russian,Vocabulary,Easy,Traits
Translate to assess into Russian., Оценивать, Сохранять, Подниматься, Внимать, Оценивать,Russian,Vocabulary,Easy,Actions
What does загадка mean in English?, Riddle, Mystery, Clue, Solution, Riddle,Russian,Vocabulary,Easy,Concepts
Translate criticism into Russian., Критика, Радость, Торжество, Признание, Критика,Russian,Vocabulary,Easy,Actions
What is the Russian word for intuition?, Интуиция, Логика, Разум, Чувства, Интуиция,Russian,Vocabulary,Easy,Abilities
Translate consciousness into Russian., Сознание, Бессознательность, Глупость, Расслабленность, Сознание,Russian,Vocabulary,Easy,State
What does поддержка mean in English?, Support, Challenge, Disagreement, Neglect, Support,Russian,Vocabulary,Easy,Support
Translate success into Russian., Успех, Провал, Победа, Невезение, Успех,Russian,Vocabulary,Easy,Achievement
What is the Russian word for decision?, Решение, Проблема, Вопрос, Ответ, Решение,Russian,Vocabulary,Easy,Choice
Translate inspiration into Russian., Вдохновение, Уныние, Печаль, Злость, Вдохновение,Russian,Vocabulary,Easy,Motivation
What does творческий mean in English?, Creative, Destructive, Conservative, Simple, Creative,Russian,Vocabulary,Easy,Traits
Translate goal into Russian., Цель, Мечта, Победа, Надежда, Цель,Russian,Vocabulary,Easy,Objective
What is the Russian word for emotion?, Эмоция, Логика, Действие, Реакция, Эмоция,Russian,Vocabulary,Easy,Feelings
Translate stability into Russian., Стабильность, Движение, Нестабильность, Процесс, Стабильность,Russian,Vocabulary,Easy,State
What does уверенность mean in English?, Confidence, Doubt, Fear, Hesitation, Confidence,Russian,Vocabulary,Easy,Confidence
Translate productivity into Russian., Продуктивность, Результативность, Эффективность, Трудолюбие, Продуктивность,Russian,Vocabulary,Easy,Action
What is the Russian word for strategy?, Стратегия, План, Тактика, Победа, Стратегия,Russian,Vocabulary,Easy,Plan
Translate procrastination into Russian., Прокрастинация, Целеустремленность, Рассеянность, Активность, Прокрастинация,Russian,Vocabulary,Easy,Negative
What does забота mean in English?, Care, Neglect, Joy, Trouble, Care,Russian,Vocabulary,Easy,Care
Translate to analyze into Russian., Анализировать, Понимать, Объяснять, Доказывать, Анализировать,Russian,Vocabulary,Easy,Actions
What is the Russian word for vocabulary?, Словарь, Лексикон, Язык, Речь, Лексикон,Russian,Vocabulary,Easy,Education
Translate to confront into Russian., Противостоять, Отказывать, Принимать, Поддерживать, Противостоять,Russian,Vocabulary,Easy,Actions
What is the Russian word for decision?, Решение, Ответ, Проблема, Выбор, Решение,Russian,Vocabulary,Easy,Choice
Translate to inspire into Russian., Вдохновлять, Огорчать, Утешать, Учить, Вдохновлять,Russian,Vocabulary,Easy,Motivation
What does сознание mean in English?, Consciousness, Unconsciousness, Awareness, Brain, Consciousness,Russian,Vocabulary,Easy,State of Mind
Translate habit into Russian., Привычка, Способ, Навык, Умение, Привычка,Russian,Vocabulary,Easy,Routine
What is the Russian word for motivation?, Мотивация, Страх, Ответ, Довод, Мотивация,Russian,Vocabulary,Easy,Drive
Translate courage into Russian., Смелость, Слабость, Усталость, Жадность, Смелость,Russian,Vocabulary,Easy,Traits
What does сомнение mean in English?, Doubt, Certainty, Conviction, Proof, Doubt,Russian,Vocabulary,Easy,Doubt
Translate genius into Russian., Гений, Дурак, Идиот, Глупец, Гений,Russian,Vocabulary,Easy,Exceptional Ability
What does акрибия mean in English?, Rigor, Laziness, Joy, Wisdom, Rigor,Russian,Vocabulary,Easy,Exactness
Translate imperceptible into Russian., Невидимый, Отчетливый, Явный, Приятный, Невидимый,Russian,Vocabulary,Easy,Attribute
What is the Russian word for dissemination?, Распространение, Задержка, Изолирование, Отказ, Распространение,Russian,Vocabulary,Easy,Spreading
Translate eloquence into Russian., Красноречие, Безграмотность, Разговор, Оружие, Красноречие,Russian,Vocabulary,Easy,Ability to Speak Well
What does деспотический mean in English?, Despotic, Benevolent, Empathetic, Harmonious, Despotic,Russian,Vocabulary,Easy,Despotic
Translate ornament into Russian., Узор, Значок, Медаль, Ремень, Узор,Russian,Vocabulary,Easy,Decoration
What is the Russian word for circumstance?, Обстоятельство, Происшествие, Результат, Задача, Обстоятельство,Russian,Vocabulary,Easy,Situation
Translate concordance into Russian., Согласованность, Разногласие, Напряженность, Аморфность, Согласованность,Russian,Vocabulary,Easy,Concordance
What does легитимный mean in English?, Legitimate, Illegitimate, Legal, Illicit, Legitimate,Russian,Vocabulary,Easy,Legitimate
Translate competence into Russian., Компетенция, Некомпетентность, Власть, Рост, Компетенция,Russian,Vocabulary,Easy,Ability
What is the Russian word for hypothetical?, Гипотетический, Реальный, Ложный, Точный, Гипотетический,Russian,Vocabulary,Easy,Theoretical
Translate reconciliation into Russian., Примирение, Разделение, Подтверждение, Распределение, Примирение,Russian,Vocabulary,Easy,Reconciliation
What does суффикс mean in English?, Suffix, Prefix, Root, Stem, Suffix,Russian,Vocabulary,Easy,Suffix
Translate abstraction into Russian., Абстракция, Конкретность, Практичность, Реальность, Абстракция,Russian,Vocabulary,Easy,Abstract Concept
What is the Russian word for paradox?, Парадокс, Парадигма, Противоречие, Предположение, Парадокс,Russian,Vocabulary,Easy,Paradox
Translate irrational into Russian., Иррациональный, Рациональный, Логический, Продуктивный, Иррациональный,Russian,Vocabulary,Easy,Without Rationality
What does тавро mean in English?, Taurus, Aries, Gemini, Virgo, Taurus,Russian,Vocabulary,Easy,Tauro
Translate polymorphism into Russian., Полиморфизм, Многообразие, Полифония, Политика, Полиморфизм,Russian,Vocabulary,Easy,Polymorphism
What is the Russian word for antagonistic?, Антагонистический, Лояльный, Гуманный, Коллективный, Антагонистический,Russian,Vocabulary,Easy,Opposing
Translate hegemony into Russian., Гегемония, Власть, Честь, Сила, Гегемония,Russian,Vocabulary,Easy,Leadership Influence
What does гипербола mean in English?, Hyperbole, Metaphor, Simile, Alliteration, Hyperbole,Russian,Vocabulary,Easy,Exaggeration
Translate homogeneity into Russian., Гомогенность, Интеграция, Динамика, Эволюция, Гомогенность,Russian,Vocabulary,Easy,Uniformity
What is the Russian word for catastrophe?, Катастрофа, Успех, Победа, Прогресс, Катастрофа,Russian,Vocabulary,Easy,Disaster
Translate nihilism into Russian., Нигилизм, Оптимизм, Успех, Экстаз, Нигилизм,Russian,Vocabulary,Easy,Nihilism
What does интеллигенция mean in English?, Intelligentsia, Intelligence, Intensity, Integrity, Intelligentsia,Russian,Vocabulary,Easy,Intellectuals
Translate pessimism into Russian., Пессимизм, Оптимизм, Уверенность, Спокойствие, Пессимизм,Russian,Vocabulary,Easy,Negative Outlook
What is the Russian word for coalescence?, Слияние, Расхождение, Распад, Отличие, Слияние,Russian,Vocabulary,Easy,Union
Translate archetype into Russian., Архетип, Модель, Оригинал, Прототип, Архетип,Russian,Vocabulary,Easy,Original Model
What does ссылка mean in English?, Reference, Citation, Link, Resource, Reference,Russian,Vocabulary,Easy,Link
Translate manuscript into Russian., Рукопись, Книга, Статья, Печать, Рукопись,Russian,Vocabulary,Easy,Handwritten Text
What is the Russian word for exegesis?, Экзегеза, Толкование, Разбирательство, Интерпретация, Экзегеза,Russian,Vocabulary,Easy,Explanation
Translate esoteric into Russian., Эзотерический, Экзотический, Эффектный, Элегантный, Эзотерический,Russian,Vocabulary,Easy,Secret Knowledge
What does эвритмия mean in English?, Eurythmy, Harmony, Rhythm, Melody, Eurythmy,Russian,Vocabulary,Easy,Eurhythmics
Translate onomatopoeia into Russian., Ономатопея, Имитация, Мимикрия, Ассоциация, Ономатопея,Russian,Vocabulary,Easy,Sound Imitation
What is the Russian word for correlation?, Корреляция, Коллекция, Компиляция, Коалиция, Корреляция,Russian,Vocabulary,Easy,Connection
Translate cyberspace into Russian., Киберпространство, Киберожидание, Киберпресмыкание, Киберреальность, Киберпространство,Russian,Vocabulary,Easy,Digital Space
What does графен mean in English?, Graphene, Graphite, Grass, Granite, Graphene,Russian,Vocabulary,Easy,Graphene
Translate arbitrariness into Russian., Произвол, Правота, Честность, Справедливость, Произвол,Russian,Vocabulary,Easy,Randomness
What is the Russian word for cognitive?, Когнитивный, Сенсорный, Абстрактный, Иллюзорный, Когнитивный,Russian,Vocabulary,Easy,Related to Thinking
Translate ephemeral into Russian., Эфемерный, Постоянный, Истинный, Вечный, Эфемерный,Russian,Vocabulary,Easy,Short-Lived
What does конъюнктура mean in English?, Conjuncture, Conjunction, Circumstance, Connection, Conjuncture,Russian,Vocabulary,Easy,Conjuncture
Translate symbiosis into Russian., Симбиоз, Синтез, Синергия, Формирование, Симбиоз,Russian,Vocabulary,Easy,Mutual Benefit
What is the Russian word for metaphor?, Метафора, Метонимия, Сравнение, Риторика, Метафора,Russian,Vocabulary,Easy,Symbolic Expression
Translate perplexity into Russian., Смущение, Запутанность, Трудность, Решительность, Смущение,Russian,Vocabulary,Easy,Confusion
What does эталон mean in English?, Standard, Model, Ideal, Criterion, Standard,Russian,Vocabulary,Easy,Standard
Translate ubiquitous into Russian., Вездесущий, Отдаленный, Похожий, Повсеместный, Вездесущий,Russian,Vocabulary,Easy,Present Everywhere
What is the Russian word for interpolation?, Интерполяция, Экстраполяция, Компиляция, Категоризация, Интерполяция,Russian,Vocabulary,Easy,Estimation
Translate inextricable into Russian., Неразрешимый, Непреодолимый, Непостижимый, Нетронутый, Неразрешимый,Russian,Vocabulary,Easy,Impossible to Disentangle
What does метаморфоз mean in English?, Metamorphosis, Metaphor, Metaphysics, Metronome, Metamorphosis,Russian,Vocabulary,Easy,Metamorphosis
Translate indefatigable into Russian., Неустанный, Неумолимый, Непоколебимый, Неутомимый, Неустанный,Russian,Vocabulary,Easy,Untiring
What is the Russian word for proliferation?, Размножение, Разрушение, Развитие, Распространение, Размножение,Russian,Vocabulary,Easy,Spread
"What is the French word for ""dog""?", Chat, Chien, Cheval, Poisson, Chien,French,Vocabulary,Easy,Animals
"How do you say ""please"" in French?", Merci, Bonjour, S'il vous plaît, Excusez-moi, S'il vous plaît,French,Vocabulary,Easy,Politeness
"Which of the following means ""goodbye"" in French?", Bonjour, Au revoir, Oui, Non, Au revoir,French,Vocabulary,Easy,Partings
"What does ""merci beaucoup"" mean in English?", Thank you very much, Hello, Goodbye, Please, Thank you very much,French,Vocabulary,Easy,Gratitude
"Translate ""house"" into French.", Chaussure, Maison, Voiture, Café, Maison,French,Vocabulary,Easy,Objects
"How do you say ""red"" in French?", Rouge, Vert, Bleu, Jaune, Rouge,French,Vocabulary,Easy,Colors
"What is the French word for ""apple""?", Orange, Banane, Pomme, Fraise, Pomme,French,Vocabulary,Easy,Food
"How would you say ""I love you"" in French?", Je m'appelle, Je t'aime, Bonjour, Comment ça va, Je t'aime,French,Vocabulary,Easy,Emotions
"Translate ""table"" into French.", Chaise, Lit, Table, Bureau, Table,French,Vocabulary,Easy,Furniture
"How do you say ""book"" in French?", Baguette, Carnet, Livre, Chat, Livre,French,Vocabulary,Easy,Objects
"What is the French word for ""thank you""?", Excusez-moi, Bien sûr, Merci, Pardon, Merci,French,Vocabulary,Easy,Gratitude
"Translate ""Monday"" into French.", Mardi, Lundi, Dimanche, Jeudi, Lundi,French,Vocabulary,Easy,Days of the Week
"How do you say ""today"" in French?", Hier, Demain, Aujourd'hui, Maintenant, Aujourd'hui,French,Vocabulary,Easy,Time
"What does ""excusez-moi"" mean in English?", Thank you, Excuse me, Yes, No, Excuse me,French,Vocabulary,Easy,Politeness
"Translate ""yellow"" into French.", Bleu, Jaune, Violet, Marron, Jaune,French,Vocabulary,Easy,Colors
"What is the French word for ""car""?", Vélo, Voiture, Avion, Train, Voiture,French,Vocabulary,Easy,Transport
"Translate ""window"" into French.", Porte, Mur, Fenêtre, Plancher, Fenêtre,French,Vocabulary,Easy,Objects
"How would you say ""I am hungry"" in French?", Je suis content, J'ai faim, Bonjour, Comment ça va, J'ai faim,French,Vocabulary,Easy,Feelings
"What is the French word for ""milk""?", Jus d'orange, Café, Eau, Lait, Lait,French,Vocabulary,Easy,Food
"Translate ""tree"" into French.", Plage, Fleurs, Maison, Arbre, Arbre,French,Vocabulary,Easy,Plants
"What is the French word for ""bread""?", Fromage, Pain, Pomme, Jus d'orange, Pain,French,Vocabulary,Easy,Food
"How do you say ""excuse me"" in French?", Merci, Bonjour, Excusez-moi, S'il vous plaît, Excusez-moi,French,Vocabulary,Easy,Politeness
"Which of the following means ""where is the bathroom?"" in French?", Où est la salle de bains ?, Comment ça va ?, C'est combien ?, Je m'appelle, Où est la salle de bains ?,French,Vocabulary,Easy,Location
"Translate ""green"" into French.", Rouge, Vert, Bleu, Jaune, Vert,French,Vocabulary,Easy,Colors
"What is the French word for ""teacher""?", Médecin, Professeur, Policier, Étudiant, Professeur,French,Vocabulary,Easy,Profession
"How would you say ""I don't understand"" in French?", J'adore ça, Je ne comprends pas, Bonjour, Comment ça va, Je ne comprends pas,French,Vocabulary,Easy,Communication
"Translate ""window"" into French.", Porte, Mur, Fenêtre, Plancher, Fenêtre,French,Vocabulary,Easy,Objects
"What does ""merci"" mean in English?", Hello, Thank you, Goodbye, Please, Thank you,French,Vocabulary,Easy,Gratitude
"How do you say ""five"" in French?", Trois, Cinq, Sept, Dix, Cinq,French,Vocabulary,Easy,Numbers
"What is the French word for ""train""?", Voiture, Train, Avion, Bateau, Train,French,Vocabulary,Easy,Transport
"Translate ""orange"" into French.", Jaune, Orange, Bleu, Vert, Orange,French,Vocabulary,Easy,Colors
"How would you say ""I am happy"" in French?", Je suis content, J'ai faim, Bonjour, Comment ça va, Je suis content,French,Vocabulary,Easy,Feelings
"What is the French word for ""watermelon""?", Pastèque, Pomme, Fraise, Cerise, Pastèque,French,Vocabulary,Easy,Food
"Translate ""Saturday"" into French.", Lundi, Samedi, Vendredi, Dimanche, Samedi,French,Vocabulary,Easy,Days of the Week
"How do you say ""book"" in French?", Sac, Carnet, Livre, Chat, Livre,French,Vocabulary,Easy,Objects
"What does ""bonsoir"" mean in English?", Good night, Good morning, Good afternoon, Goodbye, Good night,French,Vocabulary,Easy,Greetings
"Translate ""umbrella"" into French.", Lunettes de soleil, Écharpe, Parapluie, Chapeau, Parapluie,French,Vocabulary,Easy,Objects
"What is the French word for ""to eat""?", Boire, Manger, Dormir, Parler, Manger,French,Vocabulary,Easy,Actions
"Translate ""table"" into French.", Chaise, Lit, Table, Bureau, Table,French,Vocabulary,Easy,Furniture
"How would you say ""I need help"" in French?", J'aime danser, J'ai besoin d'aide, Merci beaucoup, Comment ça va, J'ai besoin d'aide,French,Vocabulary,Easy,Assistance
"What is the French word for ""banana""?", Fraise, Orange, Banane, Pomme, Banane,French,Vocabulary,Easy,Food
"How do you say ""hello"" in French?", Bonjour, Bonsoir, Au revoir, Merci, Bonjour,French,Vocabulary,Easy,Greetings
"Which of the following means ""how are you?"" in French?", Comment ça va ?, Quel âge as-tu ?, Quel est ton nom ?, Où habites-tu ?, Comment ça va ?,French,Vocabulary,Easy,Greetings
"Translate ""cat"" into French.", Chien, Chat, Oiseau, Poisson, Chat,French,Vocabulary,Easy,Animals
"What is the French word for ""mother""?", Père, Sœur, Mère, Frère, Mère,French,Vocabulary,Easy,Family
"How would you say ""my name is..."" in French?", Comment ça va, Je t'aime, Je m'appelle..., Où est la gare, Je m'appelle...,French,Vocabulary,Easy,Introduction
"Translate ""sun"" into French.", Pluie, Soleil, Neige, Vent, Soleil,French,Vocabulary,Easy,Nature
"What does ""au revoir"" mean in English?", Hello, Goodbye, Please, Thank you, Goodbye,French,Vocabulary,Easy,Partings
"How do you say ""three"" in French?", Cinq, Deux, Trois, Quatre, Trois,French,Vocabulary,Easy,Numbers
"What is the French word for ""father""?", Mère, Sœur, Père, Frère, Père,French,Vocabulary,Easy,Family
"Translate ""bike"" into French.", Moto, Voiture, Vélo, Bus, Vélo,French,Vocabulary,Easy,Transport
"How would you say ""I am tired"" in French?", Je suis heureux, Je suis fatigué, Bonjour, Comment ça va, Je suis fatigué,French,Vocabulary,Easy,Feelings
"What is the French word for ""sister""?", Frère, Sœur, Oncle, Tante, Sœur,French,Vocabulary,Easy,Family
"Translate ""table"" into French.", Chaise, Table, Bureau, Lit, Table,French,Vocabulary,Easy,Furniture
"How do you say ""good night"" in French?", Bonjour, Merci, Bonne nuit, Au revoir, Bonne nuit,French,Vocabulary,Easy,Partings
"What does ""s'il vous plaît"" mean in English?", Thank you, Excuse me, Please, Yes, Please,French,Vocabulary,Easy,Politeness
"Translate ""apple"" into French.", Fraise, Pomme, Banane, Orange, Pomme,French,Vocabulary,Easy,Food
"What is the French word for ""bird""?", Chien, Oiseau, Chat, Cheval, Oiseau,French,Vocabulary,Easy,Animals
"Translate ""rain"" into French.", Soleil, Vent, Pluie, Neige, Pluie,French,Vocabulary,Easy,Weather
"How would you say ""I want to learn"" in French?", J'aime nager, J'ai faim, Je veux apprendre, Comment ça va, Je veux apprendre,French,Vocabulary,Easy,Education
Question, Option A, Option B, Option C, Option D, Correct Answer,French,Vocabulary,Easy,Clothing
"What is the French word for ""shoes""?", Chapeau, Robe, Chaussures, Chemise, Chaussures,French,Vocabulary,Easy,Politeness
"How do you say ""thank you"" in French?", S'il vous plaît, Bonjour, Merci, Excusez-moi, Merci,French,Vocabulary,Easy,Language
"Which of the following means ""I don't speak French"" in French?", Je ne comprends pas le français, Parlez-vous français ?, Comment ça va ?, Où est la bibliothèque?, Je ne comprends pas le français,French,Vocabulary,Easy,Animals
"Translate ""dog"" into French.", Chat, Chien, Souris, Lapin, Chien,French,Vocabulary,Easy,Animals
